orth,translation
MAIS JE NOUS ATTENDONS DE LA PLUIE SURTOUT NORD PAYS ALLEMAND NORD VIENNENT PLUIE MAIS DEMAIN MIDI NORD-OUEST,"Nous attendons aussi de la pluie, surtout pour le nord de l'Allemagne. Une bande de pluie arrive cette nuit de l'ouest mais ne nous atteindra que demain après-midi dans le nord-ouest."
AVANT IX BEAUCOUP DE SOLEIL BROUILLARD PEU,"avant cela, beaucoup de soleil, moins de brouillard, c'est la bonne nouvelle"
CETTE NUIT IX SUD TOUT DE SUITE PUIS BROUILLARD FORT VOIR ENTRE CINQUANTE ET CENT MÈTRES,"cette nuit, l'alerte n'a pas été levée dans le sud, mais un épais brouillard persiste et la visibilité est de cent ou cinquante mètres seulement"
SUED ENORMEMENT FROID IX SEULEMENT IX MONTAGNE SOLEIL DOUZE ENTRE BENEFICE GEL BENEFIQUE PETIT PAS MAIS RÉGION EST BAYERN poss-SEIN FLUY IX SUED AUSSI,dans le sud il fait nettement plus frais seulement sur le bord des Alpes avec du soleil dix sinon dans le brouillard il gèle et ces champs de brouillard eh bien ils rétrécissent un peu et se tiennent probablement encore dans l'est de la Bavière près du Danube aussi encore au sud du Danube
SINON RÉGION BEAUCOUP DE SOLEIL PUIS IX NORD-OUEST PLUIE APRÈS MIDI PUIS VENT PLUS PRINCIPALEMENT,"Je suis très contente de ce que j'ai vu et de ce que j'ai fait, mais je ne peux pas m'empêcher de me demander ce que j'ai fait."
SAMEDI VENT DISPARITION SEC DIMANCHE TEMPÊTE OURAGAN RÉGION IX NOËL MARCHÉ AUSSI SUD BEAU TEMPS SOLEIL,"samedi, moins de vent, temps sec, mais dimanche, tempête et rafales d'ouragan dans le nord de l'Allemagne, probablement aussi dans les marchés de Noël du sud, mais beau temps et soleil."
BONNE SOIREE poss-EUCH FONT BIEN poss-EUCH,Je vous souhaite une bonne soirée et un bon séjour.
IN-KOMMEND SEC AMICAL BROUILLARD VENT CONTINUE AINSI,le temps automnal généralement sec et agréable se poursuivra demain chez nous
EST EUROPE HAUT C'EST POURQUOI,Le haut niveau de l'est de l'europe en est responsable
MÊME ALLEMAGNE AUTOMNE DOUX AIR VENIR IL-SIGNIFIE TEMPÉRATURE ÉLEVÉE,"en même temps, de l'air plus doux arrive en Allemagne par le sud-ouest les températures sont en légère hausse"
DEMAIN PARTIE SUD-EST PRINCIPALEMENT BROUILLARD,"demain, un brouillard parfois tenace ou un brouillard élevé persistera dans l'est et le sud"
NORD-OUEST SOLEIL EST QUELQUES NUAGES,"dans le reste du pays, le soleil s'impose plus tard, dans l'extrême est ainsi que dans l'extrême ouest, le ciel sera un peu plus nuageux"
NUIT TEMPÉRATURE FROID PLUS CINQ IX MOINS SEPT ALPES,"cette nuit, le temps se rafraîchit avec des valeurs comprises entre plus cinq degrés à la mer du nord et moins sept dans l'Allgäu"
DEMAIN HAUSSE TEMPÉRATURE SEPT OISEAUX PAYS IX QUATORZE RÉGION IX,"Demain, les températures maximales iront de sept degrés dans le Vogtland à quatorze degrés dans le Breisgau."
AU COURS DE LA JOURNÉE MERCREDI TOUJOURS AGRÉABLE SEULEMENT OUEST UN PEU DE PLUIE,"les perspectives mercredi, le temps agréable se maintient sur une grande partie du territoire sauf dans l'ouest où il peut pleuvoir un peu"
JEUDI NUAGES ARRIVENT SPÉCIALEMENT SUD OUEST,"jeudi, les nuages s'intensifient et la pluie tombe dans le sud et l'ouest du pays"
VENDREDI VARIABLE,"Vendredi, le temps sera variable partout"
BON SOIR GENTIL SPECTATEUR SALUER,bonsoir chers spectateurs
APRÈS MIDI ZONE ORAGEUSE PLUIE ORAGE ÉNORME VIENNENT ENSUITE SINON RÉGION,"oui, cet après-midi, ces violents orages se sont déplacés vers le nord, comme vous pouvez le voir ici avec ces forts échos de pluie, et ont apporté des intempéries dans le schleswig holstein"
MAINTENANT VENIR MILIEU VENIR PLUIE ORAGE PRESSION VENIR AUSSI NOUVEAU ORAGE VENIR ALPES POUR LE MOMENT ENCORE,"Mais maintenant, cela continue au centre de l'Allemagne avec de violents orages qui se préparent et de nouveaux orages qui quittent les Alpes."
RÉGION TRENTE DEGRÉS DEUX VINGT DEGRÉS KOELN RÉGION IX À NOUVEAU ÉNORME,"trente degrés, c'est la différence de température que nous avons actuellement au sud de Berlin vingt-deux degrés à Cologne"
PUIS AIR SEC PRESSION EST VIENNENT,et cet air sec qui avance lentement vers l'est
NUIT PLUIE LENTE ORAGES NORD VIENNENT SE DISSIPER,"cette nuit, nous avons encore de violents orages qui se déplacent vers le nord et qui s'affaiblissent dans la deuxième moitié de la nuit."
L'OUEST SE LÈVE EN COURS DE ROUTE PROBABLEMENT MAINTENANT DANS L'HEURE QUI SUIT LE NORD ORAGES PROBABLES,"dans l'ouest, les choses se calment plus tard et nous devons probablement nous attendre à quelques orages sur la côte de la mer du nord dans les prochaines heures."
DEMAIN ENCORE DE LA PLUIE EST PEUT-ÊTRE IX ORAGES,demain toujours de la pluie à l'est et peut-être aussi quelques orages isolés
MAIS OUEST SOLEIL AIR DIRE PARTICULIER,"le matin, mais à l'ouest, il y a déjà un air vraiment merveilleux"
SOLEIL NUAGE CHANGEANT SEC AUSSI PLUIE PAS PLUS,"Le soleil et les nuages alternent, l'air est plus sec et il ne pleut plus."
APRÈS MIDI PUIS AIR VENIR DONC VENIR BERLIN,"et dans l'après-midi, nous avons des chances que cet air atteigne lentement Berlin."
IX SEULEMENT PARTIELLEMENT APRÈS MIDI EST PLUIE ORAGE PEU SUD,"il n'y aura plus que des averses ou des orages isolés dans l'après-midi, quelque part dans l'est, y compris au pied des Alpes"
MAIS FROID PLUIE PLUS SUPPORTER CINQ VINGT À TRENTE DEGRÉS NORD-OUEST SEMBLABLE AIR EAU MÊME TEMPÉRATURE VINGT À DEUX VINGT DEGRÉS,et c'est un peu plus frais c'est plus supportable il fait vingt-cinq à trente degrés encore sur la mer du nord et la mer Baltique eh bien là l'air et l'eau ont la même température vingt à vingt-deux degrés
ET-PUIS À NOUVEAU EN MONTÉE SOLEIL MERCREDI À SIX TRENTE DEGRÉS,"je suis très content que tu sois là, mais je ne suis pas sûr que ce soit le bon moment."
JEUDI AUSSI VENDREDI AUSSI SOLEIL BRILLER CHAUD ET PLUIE EN MÊME TEMPS,"Jeudi et vendredi également, temps ensoleillé et chaud avec parfois des averses ou des orages."
BONNE SOIRÉE BIEN PARTAGER,Je vous souhaite une bonne soirée et je vous dis à bientôt.
MAINTENANT TEMPS COMMENT-APPARAÎTRE DEMAIN LUNDI DEUX VINGT AOÛT,et maintenant les prévisions météorologiques pour demain lundi vingt-deux août
DEMAIN TROIS ZONE,"demain, il y aura trois zones météorologiques en allemagne"
SUD MONTAGNE HAUT BEAUCOUP DE SOLEIL NORD BAS HAUT MILIEU VENIR PLUIE,"au sud, un anticyclone des Balkans apporte du soleil sur une grande partie du territoire le nord est sous l'influence d'un anticyclone sur l'Angleterre et au centre, des dépressions sur la Suède et la France apportent des nuages d'averses"
NORD PLUS AGRÉABLE QUE SUD IX SOLEIL,"au nord, le temps est généralement agréable et le soleil brille également au sud"
LIEU PEUT IX CHAUD ORAGE PEUT,des orages de chaleur sont possibles dans certaines régions
VENT ORAGES PEUVENT VENT NORD-OUEST VENT LÉGER MODÉRÉ NORD FRAIS,"à l'exception des rafales d'orage, le vent sera faible à modéré demain sur la mer Baltique."
RIVIÈRE NUIT UN VINGT DEGRÉS RÉGION DOUZE DEGRÉS,dans le rhin supérieur cette nuit jusqu'à vingt et un dans l'emsland douze degrés
DEMAIN VINGT CÔTE NORD CINQ TRENTE MONTAGNE,demain températures de vingt degrés au bord de la mer à trente-cinq dans le Brisgau
MARDI NORD-OUEST NUAGE PLUIE,"mardi, dans le nord et l'ouest, nuages parfois denses avec averses et orages"
SUD-EST AIMABLE PEUT LIEU ORAGE CHAUD ORAGE PEUT INTEMPÉRIES AVEC CELA,"dans l'est et le sud, généralement agréable, orages de chaleur isolés, orages locaux possibles"
MERCREDI IX PLUS ORAGE DANGER PLUIE ORAGE POUVOIR,"mercredi, le risque d'orages et d'intempéries augmente partout"
JEUDI ÉGAL,temps similaire le jeudi
CHER ASSISTANT poss-EUCH BON SOIR,"Chers téléspectateurs, bonsoir"
IN-VENANT SEMAINE ÉNORMÉMENT PASSER GELER FROID CONSÉQUENCE,"la semaine prochaine sera hivernale, un peu plus chaque jour"
IX FROID NORD VENIR,l'air froid du nord peut continuer à progresser vers le centre et l'ouest de l'Europe
CETTE NUIT DÉJÀ NEIGE PLUIE RÉGION NORD PLUIE RÉGION NEIGE ENVIRON TROIS CENTS MÈTRES,"dès cette nuit, nous avons à faire à de la neige et de la pluie au nord-est encore de la pluie vers le sud en partie aussi de la neige la limite des chutes de neige descend à environ trois cents mètres dans la nuit"
DEMAIN IX TEMPÊTE,"demain, vent tempétueux sur les côtes"
RÉGION PLUIE,"dans le nord-est, encore de la pluie par endroits"
TRANSFORMER NEIGE NORD-OUEST SOLEIL PROBABLEMENT AVEC CELA PUIS NEIGE PLUIE,"en fin de journée, il peut aussi y avoir de la neige au nord-ouest avec parfois quelques rayons de soleil sinon il y a toujours de la neige ou des averses de pluie"
TEMPÉRATURE DE UN À SIX DEGRÉS À L'ARRIVÉE PUIS FROID INTENSE,les températures maximales ne sont que de un à six degrés et les prochains jours seront encore plus froids
"À PARTIR DE JEUDI, NEIGE EN CONTINU PENDANT LA JOURNÉE GELÉE PUIS NEIGE À VENIR DE TOUTE FAÇON","A partir de jeudi, il gèlera en permanence sur une grande partie de la journée et si quelque chose tombe du ciel, ce sera de la neige."
BELLE SOIRÉE FAIRE BIEN TSCHUESS,Je vous souhaite une bonne soirée.
PRESSION D'AIR MONTER VENIR SUD UN PEU FAIBLE,la haute pression atmosphérique s'affaiblira demain également dans le sud de l'allemagne
VENIR PLUS HAUT VENIR,les dépressions influencent de plus en plus notre météo
POSSIBLE RESTE UN PEU DE PLUIE,sinon il pleut ou bruine ici et là
JOUR SUD SOLEIL NUAGE BROUILLARD MAIS BEAUCOUP DE RÉGION NUAGEUX,"en journée, soleil dans le sud, nuages et brouillard sinon beaucoup de nuages"
SUD LÉGÈRE BRISE RESTE SEULEMENT BRISE NORD PEU DE BRISE FRAÎCHE,"vent faible dans le sud, vent modéré dans le reste du pays, voire frais dans la mer du Nord"
CETTE NUIT NORD-OUEST DIX DEGRÉS MOINS DEUX SUD,"cette nuit, dix degrés en frise orientale et jusqu'à moins deux degrés dans le sud"
JOUR SEPT DEGRÉS RÉGION V RÉGION QUATORZE DEGRÉS RIVIÈRE,"le jour, sept degrés dans le Vogtland et jusqu'à quatorze degrés dans le Rhin inférieur"
DIMANCHE NORD BEAU SURTOUT SUD LE PLUS SOUVENT PLUIE MONTAGNE IX AUSSI NEIGE,"dimanche, le temps est assez agréable dans le nord, surtout en direction du sud, avec de la pluie et de la neige dans certaines régions de montagne."
LUNDI SUD PEU DE PLUIE SINON SOLEIL NUAGE BROUILLARD,"lundi, peu de pluie dans le sud, sinon soleil, nuages et brouillard"
MAINTENANT TEMPS DEMAIN MERCREDI SEPT AVRIL,"Et maintenant, les prévisions météo pour demain, mercredi 7 avril."
DEMAIN ENCORE HAUT VENIR SOLEIL PRÉDOMINANT MAIS ENSUITE NORD VENIR,"demain aussi, l'anticyclone nous offre beaucoup de soleil, mais disparaît ensuite en direction de l'est"
RÉGION OUEST PEUT-ÊTRE BASSE NUAGEUX EN COURS SOIRÉE UN PEU DE PLUIE PEUT ARRIVER,"dans l'ouest, les nuages de basse altitude se font remarquer, mais ce n'est qu'en fin de journée qu'ils peuvent apporter quelques gouttes."
NUIT PRINCIPALEMENT CIEL CLAIR PEU DE NUAGES PARFOIS BROUILLARD EXEMPLE VALLÉE OU VENT SOUFFLANT BROUILLARD POSSIBLE,"la nuit, le ciel sera dégagé ou peu nuageux avec, ici et là, la formation de brouillard, notamment dans les vallées et les zones abritées du vent."
PUIS AU FUR ET À MESURE RÉGION OUEST UN PEU DE NUAGES PUIS RÉGION CAMPAGNE PLUS DE NUAGES GÉNÉRALEMENT SEC,"en cours de journée, quelques nuages épars apparaissent à l'ouest et deviennent plus denses à l'ouest du rhin en soirée, mais le temps reste globalement sec"
COMMENT-APPARAÎTRE CE QUE NORD JEUDI MEILLEUR SOLEIL RÉGION OUEST PRINCIPALEMENT NUAGEUX PARFOIS PLUIE,"les perspectives dans la moitié sud-est du pays, le temps restera encore assez agréable jeudi sinon, il y aura plus de nuages que de soleil et des averses isolées"
VENDREDI CHANGEANT PLUS FROID,"à partir de vendredi, le temps sera variable partout et il fera à nouveau plus frais"
DEMAIN TEMPS COMMENT-APPARAÎTRE JEUDI TREIZE MAI,et maintenant les prévisions météo pour demain jeudi 13 mai
ALLEMAND PAYS BEAUCOUP BAS VENIR,l'allemagne se trouve à l'intérieur d'une vaste zone de basse pression
EUROPE SUD-OUEST RÉGION SCANDINAVE,elle s'étend du sud-ouest de l'europe à la scandinavie
PAR FROID,il reste frais
CETTE NUIT NORD-OUEST UN PEU DE PLUIE SUD PLUIE POUVOIR,"cette nuit, il ne pleut que légèrement dans le nord-ouest et parfois fortement dans le sud"
RÉGION PLUS SEC NUAGE CIEL IX IL-Y-A DU SOLEIL,"sinon, temps généralement sec mais nuageux quelques passages agréables dans l'est ainsi qu'en mer du nord"
VENT VENTS FAIBLES VENTS MODÉRÉS,"demain, le vent sera faible à modéré et soufflera du nord au nord-ouest."
CE SOIR NEUF À DEUX DEGRÉS JOUR MONTAGNE JUSQU'À NEUF EST JUSQU'À DIX-SEPT DEGRÉS PEUVENT ÊTRE,"cette nuit, des valeurs entre neuf et deux degrés en journée dans les régions montagneuses et, en cas de pluie, des valeurs à un chiffre dans l'est jusqu'à dix-sept degrés"
VENDREDI SURTOUT SUD EST PLUIE SURTOUT SOLEIL NORD-OUEST,"vendredi, il pleuvra surtout dans le sud et l'est, ici et là, le soleil se montrera au mieux dans le nord-ouest"
DIMANCHE SUD-EST PUIS PLUIE NORD-OUEST AGRÉABLE OUEST AVERSES,"dimanche, il pleut abondamment dans le sud-est dans le nord et l'ouest, le temps est temporairement agréable dans l'ouest mais il y a aussi des averses"
SOIR POSSIBLE,bonsoir chers spectateurs
DEUX JOURS EN COURS MONTANT CHAUD JUSQU'À SOLEIL PLUIE nég-COUVERTURE nég-COUVERTURE,"Dans les deux prochains jours, il fera un peu plus chaud et surtout un peu plus ensoleillé."
OUEST EUROPE RÉGION PLUIE ZONE PLUIE NORD STROEMEN NOUVEAU VIENNENT PORTUGAL ET ESPAGNE,la pluie tombe sur l'europe de l'ouest cette zone de pluie se forme et se dirige vers la mer du nord mais aussi vers le portugal et l'espagne
AUSSI RÉGION EST AUTOMNE VENT PUIS PLUIE DISPARAÎTRE,"et nous avons aussi une tempête d'automne dans l'est de la Méditerranée, mais elle s'éloigne maintenant avec des pluies continues accompagnées d'orages et de rafales de vent."
RÉGION ALLEMAGNE PAYS CALME CETTE NUIT BROUILLARD PEUT ÊTRE PARTICULIÈREMENT SUD,oui et chez nous c'est plutôt calme et cela signifie que cette nuit il y aura à nouveau des champs de brouillard qui se formeront surtout dans le sud de l'Allemagne.
NORD NUAGE VENIR RÉGION SUD CLAIR FROID ÉTOILES PEUVENT VOIR PEU GEL JUSQU'À MOINS HUIT TROIS,"dans le nord, quelques nuages passent encore et dans le sud, avec un ciel clair, il fait le plus froid, mais nous avons encore un peu de gel jusqu'à moins trois degrés."
IX RÉGION DOUX NUAGE CIEL IX,le temps reste nettement plus doux sous les nuages du nord de l'allemagne
DEMAIN MONTÉE OUEST ENTRE QUINZE ET DIX-SEPT DEGRÉS,"et demain, nous aurons les températures les plus élevées de l'ouest, avec tout de même quinze à dix-sept degrés à l'ouest du Rhin."
RÉGION IX PLUS CHAUD QU'AUJOURD'HUI DIX À QUATORZE DEGRÉS,"ailleurs, dans le nord et l'est, il fait aussi plus chaud qu'aujourd'hui avec dix à quatorze degrés"
LA PLUPART DU TEMPS SOLEIL RÉGION PEU NUAGEUX CIEL IX NUAGEUX CIEL,le temps sera majoritairement ensoleillé avec quelques nuages qui seront un peu plus denses dans le nord de l'Allemagne
APRÈS MIDI FORT VENT,"et en plus, il y a ce fort vent du sud l'après-midi"
RÉGION NEG-STARK D'ABORD Brouillard DENSITÉ APRÈS MIDI PULVÉRISATIONS ALORS Brouillard FERMÉ,"dans le sud de l'Allemagne, le vent n'est pas très fort, c'est pourquoi les champs de brouillard se maintiennent pour le moment, mais dans l'après-midi, le foehn souffle sur le nord des Alpes et c'est la fin du brouillard."
SAMEDI AUSSI BROUILLARD GÉNÉRALEMENT SOLEIL PEUT-ÊTRE OUEST UN PEU DE PLUIE,oui il peut y avoir du brouillard samedi mais le temps sera majoritairement ensoleillé il y aura peut-être quelques gouttes de pluie dans l'ouest
DIMANCHE LUNDI GÉNÉRALEMENT SEC PARFOIS SOLEIL ET NUAGES,"dimanche et lundi, temps généralement sec, parfois ensoleillé, parfois nuageux"
BONNES SOIRS BONS POSSIBILITÉS,Je vous souhaite une bonne soirée et un bon séjour.
MAINTENANT PRÉVISION MÉTÉO MERCREDI NEUF VINGT SEPTEMBRE,et maintenant les prévisions météorologiques pour demain mercredi vingt-neuf septembre
SCANDINAVIE TEMPS BON NORD-OUEST ALLEMAGNE VENIR MEILLEURE RÉGION,l'anticyclone au-dessus de la scandinavie se fera surtout sentir demain dans le nord-ouest de l'allemagne
MAIS ENCORE SUD SUD-EST VENIR NUAGEUX,le temps reste instable dans le sud et l'est.
AIR SOUFFLER PARTICULIÈREMENT FROID SOUFFLER,l'air qui nous parvient est plutôt frais
SUD PLUIE VOIR RÉGION PEU PLUIE PEU,"dans la nuit, il pleut dans le sud et l'est ici et là sinon quelques gouttes très isolées"
PAR ENDROITS AUSSI UN PEU DE BROUILLARD,le brouillard s'étend par endroits
JOUR PEU POSSIBLE SOLEIL PEU FORT NUAGE CHANGEANT,"en journée, en partie des lacunes dans la couverture nuageuse, en partie un ciel très nuageux"
NORD-OUEST BEAU SOLEIL RÉGION ONT2 EST PLUS DE PLUIE,le temps sera le plus agréable dans le nord-ouest dans l'est et le sud il pleuvra ou aura des averses à certains endroits
NORD NORD-EST PEU FAIBLE VENT E+R+Z TEMPÊTE PRINCIPALEMENT VENT SEULEMENT FAIBLE VENT,"demain, dans le nord et l'est, vent faible à modéré dans les monts Métallifères et près de la mer Baltique, rafales parfois fortes sinon, vent généralement faible"
CETTE NUIT FRANCFORT DIX DEGRÉS NORD NORD-OUEST TROIS DEGRÉS POSSIBLE SOL GEL NORD-OUEST,"cette nuit, dix degrés à francfort-sur-le-Main trois degrés dans le nord-ouest où il peut geler au sol"
JOUR DIX DEGRÉS V TERRE DIX-SEPT DEGRÉS FLEUVE,"le jour, il fait dix degrés dans le Vogtland et dix-sept degrés sur le Rhin"
PRÉVISION JEUDI EST PLUS DE SOLEIL OUEST PLUS DE NUAGES PEU DE SOLEIL,"Jeudi, le temps sera plus longtemps agréable dans la moitié est du pays et plus nuageux qu'ensoleillé dans la moitié ouest."
AUSSI VENDREDI AUSSI SAMEDI AUSSI MÊME CHOSE,La situation est similaire le vendredi et le samedi.
DEMAIN TEMPS COMME-APPARAÎTRE MARDI TREIZE AVRIL,"et maintenant les prévisions météo pour demain, mardi 13 avril"
SUD CENTRE RÉGION BAS VENIR,la basse pression continue d'influencer le temps dans le sud et le centre de l'allemagne
NORD BON HAUT VENIR,"le nord, en revanche, bénéficie d'une pression atmosphérique élevée"
PUIS MERCREDI MÊME-RESTER,"Mercredi, ça ne changera pas"
JOUR SOLEIL SUD CENTRE RÉGION CIEL NUAGEUX PLUIE IX POSSIBLE,"au nord, beaucoup de soleil au sud et au centre, les nuages sont plus ou moins proches les uns des autres ici et là, il pleut ou averse"
APRÈS MIDI ORAGE IX POSSIBLE,quelques brefs orages dans l'après-midi
VENTS FAIBLES VENT MODÉRÉ,"le vent du nord-est est faible à modéré, voire frais par endroits"
CETTE NUIT RÉGION SIX DEGRÉS MOINS TROIS ALPES,"cette nuit, six degrés dans la région rhein main moins trois degrés dans les alpes"
JOUR HUIT RÉGION ET SEIZE DEGRÉS BAS FLEUVE,"le jour, huit degrés en oberfranken et seize degrés en niederrhein"
VENDREDI VARIABLE SOLEIL NUAGES SURTOUT ALPES RÉGION PLUIE PEUVENT VENT DU NORD,"vendredi, soleil et nuages, surtout dans les Alpes et au nord-est, un peu de pluie, au nord, du vent"
